Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,company_size
37.0,Female,United States,IL,,No,Yes,Often,6-25,No,Yes,Yes,Maybe,No,Yes,Yes,Somewhat easy,No,No,some of them,Yes,No,Unsure,Yes,No,Small
44.0,Male,United States,IN,,No,No,Rarely,More than 1000,No,No,Maybe,No,Maybe,Maybe,Maybe,Not sure,Maybe,No,No,No,No,No,Maybe,No,Large
31.0,Male,United States,TX,,No,No,Never,100-500,Yes,Yes,Yes,No,Maybe,Maybe,Maybe,Not sure,No,No,some of them,Yes,Yes,Yes,Maybe,No,Medium
33.0,Male,United States,TN,,Yes,No,Sometimes,6-25,No,Yes,Yes,Maybe,No,Maybe,Maybe,Not sure,No,No,Yes,Yes,No,Unsure,Maybe,No,Small
35.0,Female,United States,MI,,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,some of them,No,No,No,Maybe,No,Small
42.0,Female,United States,IL,,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Unsure,No,No,Medium
31.0,Male,United States,OH,,No,Yes,Sometimes,6-25,Yes,Yes,Maybe,No,No,No,Maybe,Not sure,No,No,some of them,Yes,No,No,Maybe,No,Small
42.0,Female,United States,CA,,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Maybe,Somewhat difficult,Yes,Yes,Yes,Yes,Unsure,Unsure,No,Yes,Medium
36.0,Male,United States,CT,,Yes,No,Never,500-1000,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,No,No,Yes,Yes,No,No,Maybe,No,Large
29.0,Female,United States,IL,,Yes,Yes,Rarely,26-100,No,Yes,Yes,Maybe,No,No,Maybe,Somewhat easy,No,No,Yes,some of them,Unsure,Unsure,Maybe,No,Medium
32.0,Male,United States,TN,,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,Maybe,Maybe,Not sure,Maybe,No,some of them,Yes,No,No,No,No,Small
46.0,Male,United States,MD,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,Small
